chr,start,stop,strand,Name,Location,Lev. Dist.,Gene,Annot.,Pool,MAR,Tier,Tier_Final,Site Type,Origin,Avg. % On-Target UMI,orig_chr,orig_start,orig_stop,orig_strand,orig_Name
chr3,30463436,30463455,+,Tier3_13_insilico_ref403,chr3:30463436-30463455(+),3;NONE,LOC101927995,Other,NONE,Low,3,3,OFF;NONE,UNCOVERseq;insilico,0.048;NONE,chr3,30463436,30463455,+,Tier3_13;Insilico_ref403
chr17,26603684,26603703,-,Tier3_14,chr17:26603684-26603703(-),6,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.03,chr17,26603684,26603703,-,Tier3_14
chr1,168144492,168144511,+,Insilico_ref34__Tier3_16,chr1:168144492-168144511(+);chr1:168144492-168144510(+),2;NONE,none,Intergenic,NONE,Low,3,3,OFF;NONE,UNCOVERseq;insilico,0.027;NONE,chr1,168144492,168144511;168144510,+,Tier3_16;Insilico_ref34
chr18,4258818,4258837,-,Tier3_17_insilico_ref2488,chr18:4258818-4258837(-),4;NONE,DLGAP1,Intron,NONE,High,3,3,OFF;NONE,UNCOVERseq;insilico,0.025;NONE,chr18,4258818,4258837,-,Tier3_17;Insilico_ref2488
chr4,51107379,51107398,+,Tier3_18,chr4:51107379-51107398(+),6,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.025,chr4,51107379,51107398,+,Tier3_18
chr5,134923338,134923357,+,Tier3_19,chr5:134923338-134923357(+),6,PCBD2,Intron,NONE,Med.,3,3,OFF,UNCOVERseq,0.025,chr5,134923338,134923357,+,Tier3_19
chrY,11309436,11309455,+,Tier3_20,chrY:11309436-11309455(+),6,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.024,chrY,11309436,11309455,+,Tier3_20
chr18,109458,109477,-,Tier3_23,chr18:109458-109477(-),5,ROCK1P1,Other,NONE,Low,3,3,OFF,UNCOVERseq,0.021,chr18,109458,109477,-,Tier3_23
chr17,23016400,23016418,+,Tier3_25,chr17:23016400-23016418(+),5,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.02,chr17,23016400,23016418,+,Tier3_25
chr11,80947774,80947793,+,Tier3_26_insilico_ref378,chr11:80947774-80947793(+),2;NONE,none,Intergenic,NONE,Low,3,3,OFF;NONE,UNCOVERseq;insilico,0.019;NONE,chr11,80947774,80947793,+,Tier3_26;Insilico_ref378
chrY,11323538,11323557,+,Tier3_27,chrY:11323538-11323557(+),6,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.019,chrY,11323538,11323557,+,Tier3_27
chr18,109305,109324,+,Tier2_28,chr18:109305-109324(+),6,ROCK1P1,Exon,NONE,Low,2,2,OFF,UNCOVERseq,0.019,chr18,109305,109324,+,Tier2_28
chr5,94570802,94570821,-,Tier3_33,chr5:94570802-94570821(-),5,KIAA0825,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.018,chr5,94570802,94570821,-,Tier3_33
chr1,173967902,173967921,-,Tier3_34_insilico_ref4,chr1:173967902-173967921(-),2;NONE,RC3H1,Intron,NONE,High,3,3,OFF;NONE,UNCOVERseq;insilico,0.018;NONE,chr1,173967902,173967921,-,Tier3_34;Insilico_ref4
chrX,53498486,53498506,-,Tier3_35__Insilico_ref7069,chrX:53498486-53498505(-);chrX:53498486-53498506(-),6;NONE,none,Intergenic,NONE,Low,3;6,3,OFF;NONE,UNCOVERseq;insilico,0.017;NONE,chrX,53498486,53498505;53498506,-,Tier3_35;Insilico_ref7069
chrY,11330431,11330450,+,Tier3_36,chrY:11330431-11330450(+),6,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.017,chrY,11330431,11330450,+,Tier3_36
chr2,196344134,196344153,+,Tier3_37,chr2:196344134-196344153(+),6,HECW2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.017,chr2,196344134,196344153,+,Tier3_37
chr21,8234343,8234412,-,Tier6_103__Tier3_38,chr21:8234343-8234362(-);chr21:8234393-8234412(-),6,none,Intergenic,NONE,Low,6;3,3,OFF,UNCOVERseq,0.008;0.016,chr21,8234343;8234393,8234362;8234412,-,Tier6_103;Tier3_38
chrY,11305057,11305074,+,Tier3_39,chrY:11305057-11305074(+),6,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.016,chrY,11305057,11305074,+,Tier3_39
chr14,80212103,80212122,-,Tier3_41,chr14:80212103-80212122(-),5,DIO2,Exon,NONE,Med.,3,3,OFF,UNCOVERseq,0.015,chr14,80212103,80212122,-,Tier3_41
chr4,16763118,16763136,-,Tier3_51,chr4:16763118-16763136(-),6,LDB2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.012,chr4,16763118,16763136,-,Tier3_51
chr15,88113824,88113843,-,Tier3_53,chr15:88113824-88113843(-),6,NTRK3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.011,chr15,88113824,88113843,-,Tier3_53
chr4,97757502,97757522,-,Tier3_56,chr4:97757502-97757522(-),6,STPG2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.011,chr4,97757502,97757522,-,Tier3_56
chr5,159508978,159508997,-,Tier3_57_insilico_ref6132,chr5:159508978-159508997(-),5;NONE,LOC105377685,Exon,NONE,Low,3,3,OFF;NONE,UNCOVERseq;insilico,0.011;NONE,chr5,159508978,159508997,-,Tier3_57;Insilico_ref6132
chr2,79546642,79546661,+,Tier3_58,chr2:79546642-79546661(+),6,CTNNA2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.011,chr2,79546642,79546661,+,Tier3_58
chr18,107959,107978,-,Tier3_65,chr18:107959-107978(-),6,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.01,chr18,107959,107978,-,Tier3_65
chr3,143768031,143768050,-,Tier3_66,chr3:143768031-143768050(-),6,SLC9A9,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.01,chr3,143768031,143768050,-,Tier3_66
chr2,29699565,29699584,+,Tier3_90,chr2:29699565-29699584(+),6,ALK,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.009,chr2,29699565,29699584,+,Tier3_90
chr18,62811030,62811049,+,Tier3_91,chr18:62811030-62811049(+),6,PHLPP1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.009,chr18,62811030,62811049,+,Tier3_91
chr2,40162942,40162961,-,Tier3_92,chr2:40162942-40162961(-),6,SLC8A1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.009,chr2,40162942,40162961,-,Tier3_92
chr12,111517151,111517169,+,Tier3_93,chr12:111517151-111517169(+),6,ATXN2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.009,chr12,111517151,111517169,+,Tier3_93
chr11,56318538,56318557,+,Tier3_94,chr11:56318538-56318557(+),6,OR8K3,Exon,NONE,Med.,3,3,OFF,UNCOVERseq,0.009,chr11,56318538,56318557,+,Tier3_94
chrX,133974920,133974941,+,Tier3_95,chrX:133974920-133974941(+),6,GPC3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.009,chrX,133974920,133974941,+,Tier3_95
chr7,72183335,72183354,+,Tier3_96,chr7:72183335-72183354(+),6,CALN1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.009,chr7,72183335,72183354,+,Tier3_96
chr2,72278649,72278668,-,Tier3_123,chr2:72278649-72278668(-),6,EXOC6B,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.008,chr2,72278649,72278668,-,Tier3_123
chr12,65318822,65318841,-,Tier3_124,chr12:65318822-65318841(-),6,MSRB3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.008,chr12,65318822,65318841,-,Tier3_124
chr8,103914514,103914533,+,Tier3_125,chr8:103914514-103914533(+),6,RIMS2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.008,chr8,103914514,103914533,+,Tier3_125
chrX,54240102,54240119,+,Tier3_127,chrX:54240102-54240119(+),6,WNK3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.008,chrX,54240102,54240119,+,Tier3_127
chr4,14864776,14864794,-,Tier3_128,chr4:14864776-14864794(-),6,LINC00504,Other,NONE,High,3,3,OFF,UNCOVERseq,0.008,chr4,14864776,14864794,-,Tier3_128
chr13,36083346,36083365,-,Tier3_129,chr13:36083346-36083365(-),5,DCLK1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.008,chr13,36083346,36083365,-,Tier3_129
chr6,68983126,68983145,-,Tier3_131,chr6:68983126-68983145(-),6,ADGRB3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.008,chr6,68983126,68983145,-,Tier3_131
chr8,3280184,3280204,+,Tier3_132_insilico_ref14,chr8:3280184-3280204(+),2;NONE,CSMD1,Intron,NONE,High,3,3,OFF;NONE,UNCOVERseq;insilico,0.008;NONE,chr8,3280184,3280204,+,Tier3_132;Insilico_ref14
chr9,131571321,131571340,-,Tier3_133__Insilico_pop66_insilico_ref434,chr9:131571321-131571340(-);chr9:131571322-131571340(-);chr9:131571322-131571340(-),2;NONE;NONE,none,Intergenic,NONE,Low,3,3,OFF;NONE;NONE,UNCOVERseq;insilico;insilico,0.008;NONE;NONE,chr9,131571321;131571322;131571322,131571340,-,Tier3_133;Insilico_pop66;Insilico_ref434
chr4,166890884,166890906,-,Tier3_134,chr4:166890884-166890906(-),6,SPOCK3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.008,chr4,166890884,166890906,-,Tier3_134
chr6,65639430,65639449,+,Tier3_135,chr6:65639430-65639449(+),6,EYS,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.007,chr6,65639430,65639449,+,Tier3_135
chr15,86448652,86448671,-,Tier3_136,chr15:86448652-86448671(-),4,AGBL1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.007,chr15,86448652,86448671,-,Tier3_136
chr2,129982414,129982433,+,Tier3_137,chr2:129982414-129982433(+),6,RAB6C,Exon,NONE,Med.,3,3,OFF,UNCOVERseq,0.007,chr2,129982414,129982433,+,Tier3_137
chr17,61259884,61259901,-,Tier3_138,chr17:61259884-61259901(-),6,BCAS3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.007,chr17,61259884,61259901,-,Tier3_138
chr18,3143017,3143036,+,Tier3_139,chr18:3143017-3143036(+),6,MYOM1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.007,chr18,3143017,3143036,+,Tier3_139
chr11,30052979,30052998,-,Tier3_140,chr11:30052979-30052998(-),6,ARL14EP-DT,Other,NONE,High,3,3,OFF,UNCOVERseq,0.007,chr11,30052979,30052998,-,Tier3_140
chr10,77438574,77438593,+,Tier3_141,chr10:77438574-77438593(+),6,KCNMA1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.007,chr10,77438574,77438593,+,Tier3_141
chr7,148392526,148392544,-,Tier3_144,chr7:148392526-148392544(-),6,CNTNAP2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.007,chr7,148392526,148392544,-,Tier3_144
chr11,65425247,65425266,+,Tier3_145,chr11:65425247-65425266(+),5,NEAT1,Exon,NONE,Med.,3,3,OFF,UNCOVERseq,0.007,chr11,65425247,65425266,+,Tier3_145
chrX,50788719,50788738,+,Tier3_222,chrX:50788719-50788738(+),5,SHROOM4,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chrX,50788719,50788738,+,Tier3_222
chr3,9722834,9722853,-,Tier3_223,chr3:9722834-9722853(-),6,CPNE9,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr3,9722834,9722853,-,Tier3_223
chr4,5195490,5195507,+,Tier3_224,chr4:5195490-5195507(+),6,STK32B,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr4,5195490,5195507,+,Tier3_224
chr14,32094377,32094396,+,Tier3_225,chr14:32094377-32094396(+),6,ARHGAP5,Exon,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr14,32094377,32094396,+,Tier3_225
chrX,74232046,74232065,+,Tier3_226,chrX:74232046-74232065(+),6,FTX,Other,NONE,High,3,3,OFF,UNCOVERseq,0.006,chrX,74232046,74232065,+,Tier3_226
chr7,116687757,116687776,+,Tier3_227,chr7:116687757-116687776(+),6,MET,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr7,116687757,116687776,+,Tier3_227
chr7,70432737,70432755,-,Tier3_228,chr7:70432737-70432755(-),5,AUTS2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr7,70432737,70432755,-,Tier3_228
chr8,68480361,68480380,-,Tier3_229,chr8:68480361-68480380(-),6,C8orf34,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr8,68480361,68480380,-,Tier3_229
chr7,71378493,71378512,+,Tier3_230,chr7:71378493-71378512(+),6,GALNT17,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr7,71378493,71378512,+,Tier3_230
chr7,18803203,18803221,-,Tier3_231,chr7:18803203-18803221(-),5,HDAC9,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr7,18803203,18803221,-,Tier3_231
chr21,46472822,46472841,+,Tier3_232,chr21:46472822-46472841(+),6,DIP2A,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr21,46472822,46472841,+,Tier3_232
chr2,165492310,165492328,-,Tier3_233,chr2:165492310-165492328(-),6,CSRNP3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr2,165492310,165492328,-,Tier3_233
chr2,63035926,63035945,+,Tier3_234,chr2:63035926-63035945(+),6,EHBP1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr2,63035926,63035945,+,Tier3_234
chr10,86130708,86130727,-,Tier3_235,chr10:86130708-86130727(-),6,GRID1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr10,86130708,86130727,-,Tier3_235
chr22,49047750,49047769,-,Tier3_236,chr22:49047750-49047769(-),6,LOC105373085,Exon,NONE,Low,3,3,OFF,UNCOVERseq,0.006,chr22,49047750,49047769,-,Tier3_236
chr11,41045467,41045487,+,Tier3_237,chr11:41045467-41045487(+),6,LRRC4C,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr11,41045467,41045487,+,Tier3_237
chr14,87940701,87940720,+,Tier3_240,chr14:87940701-87940720(+),6,GALC,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr14,87940701,87940720,+,Tier3_240
chr2,210303457,210303476,-,Tier3_241,chr2:210303457-210303476(-),6,MYL1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.006,chr2,210303457,210303476,-,Tier3_241
chr7,126448792,126448811,-,Tier3_252,chr7:126448792-126448811(-),6,GRM8,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr7,126448792,126448811,-,Tier3_252
chr6,163133400,163133419,+,Tier3_253,chr6:163133400-163133419(+),6,PACRG,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr6,163133400,163133419,+,Tier3_253
chr16,7192026,7192044,+,Tier3_254,chr16:7192026-7192044(+),6,RBFOX1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr16,7192026,7192044,+,Tier3_254
chr1,237470172,237470191,-,Tier3_255,chr1:237470172-237470191(-),6,RYR2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr1,237470172,237470191,-,Tier3_255
chr3,181187362,181187381,-,Tier3_256,chr3:181187362-181187381(-),6,SOX2-OT,Other,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr3,181187362,181187381,-,Tier3_256
chr15,82537011,82537030,+,Tier3_257,chr15:82537011-82537030(+),6,RPS17,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr15,82537011,82537030,+,Tier3_257
chr10,133688269,133688288,-,Tier3_258,chr10:133688269-133688288(-),6,none,Intergenic,NONE,Low,3,3,OFF,UNCOVERseq,0.005,chr10,133688269,133688288,-,Tier3_258
chr3,174474884,174474902,+,Tier3_259,chr3:174474884-174474902(+),6,NAALADL2,Other,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr3,174474884,174474902,+,Tier3_259
chr2,33111695,33111714,+,Tier3_261,chr2:33111695-33111714(+),6,LTBP1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr2,33111695,33111714,+,Tier3_261
chr1,245241009,245241028,-,Tier3_262_insilico_ref104,chr1:245241009-245241028(-),3;NONE,KIF26B,Intron,NONE,High,3,3,OFF;NONE,UNCOVERseq;insilico,0.005;NONE,chr1,245241009,245241028,-,Tier3_262;Insilico_ref104
chr9,84950415,84950434,+,Tier3_263,chr9:84950415-84950434(+),6,NTRK2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr9,84950415,84950434,+,Tier3_263
chr7,69712057,69712076,-,Tier3_264,chr7:69712057-69712076(-),6,AUTS2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr7,69712057,69712076,-,Tier3_264
chr10,115732543,115732562,-,Tier3_265,chr10:115732543-115732562(-),6,ATRNL1,Exon,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr10,115732543,115732562,-,Tier3_265
chr2,217498533,217498552,-,Tier3_266,chr2:217498533-217498552(-),6,DIRC3,Other,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr2,217498533,217498552,-,Tier3_266
chr1,239652056,239652075,-,Tier3_267,chr1:239652056-239652075(-),5,CHRM3,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr1,239652056,239652075,-,Tier3_267
chr8,47535416,47535431,+,Tier3_268,chr8:47535416-47535431(+),6,SPIDR,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr8,47535416,47535431,+,Tier3_268
chr8,35701105,35701124,+,Tier3_269,chr8:35701105-35701124(+),6,UNC5D,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr8,35701105,35701124,+,Tier3_269
chr8,14838202,14838221,+,Tier3_270,chr8:14838202-14838221(+),6,SGCZ,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr8,14838202,14838221,+,Tier3_270
chr7,70515978,70515997,+,Tier3_271,chr7:70515978-70515997(+),6,AUTS2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr7,70515978,70515997,+,Tier3_271
chr4,20781669,20781688,-,Tier3_272,chr4:20781669-20781688(-),6,KCNIP4,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr4,20781669,20781688,-,Tier3_272
chr7,69912031,69912051,-,Tier3_273,chr7:69912031-69912051(-),6,AUTS2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr7,69912031,69912051,-,Tier3_273
chr18,63794724,63794742,-,Tier3_274,chr18:63794724-63794742(-),5,SERPINB7,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr18,63794724,63794742,-,Tier3_274
chr17,63272950,63272969,-,Tier3_275,chr17:63272950-63272969(-),6,TANC2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr17,63272950,63272969,-,Tier3_275
chr1,17094261,17094280,-,Tier3_276,chr1:17094261-17094280(-),6,PADI2,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr1,17094261,17094280,-,Tier3_276
chr10,21216301,21216320,+,Tier3_277,chr10:21216301-21216320(+),6,NEBL,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.005,chr10,21216301,21216320,+,Tier3_277
chr1,10647426,10647444,+,Tier3_409,chr1:10647426-10647444(+),6,CASZ1,Exon,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr1,10647426,10647444,+,Tier3_409
chr11,130456094,130456112,-,Tier3_410,chr11:130456094-130456112(-),4,ADAMTS15,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr11,130456094,130456112,-,Tier3_410
chr2,124452584,124452602,+,Tier3_411,chr2:124452584-124452602(+),5,CNTNAP5,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr2,124452584,124452602,+,Tier3_411
chr19,57078815,57078834,+,Tier3_412,chr19:57078815-57078834(+),6,LOC105372475,Exon,NONE,Low,3,3,OFF,UNCOVERseq,0.004,chr19,57078815,57078834,+,Tier3_412
chr17,56444650,56444667,-,Tier3_413,chr17:56444650-56444667(-),6,ANKFN1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr17,56444650,56444667,-,Tier3_413
chr15,61135831,61135850,+,Tier3_414,chr15:61135831-61135850(+),6,RORA,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr15,61135831,61135850,+,Tier3_414
chr10,19605660,19605677,-,Tier3_418,chr10:19605660-19605677(-),6,MALRD1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr10,19605660,19605677,-,Tier3_418
chr17,56446635,56446654,-,Tier3_419,chr17:56446635-56446654(-),6,ANKFN1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr17,56446635,56446654,-,Tier3_419
chr15,31026354,31026373,-,Tier3_420,chr15:31026354-31026373(-),6,TRPM1,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr15,31026354,31026373,-,Tier3_420
chr5,22837216,22837233,+,Tier3_421,chr5:22837216-22837233(+),6,CDH12,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr5,22837216,22837233,+,Tier3_421
chr4,24207052,24207070,-,Tier3_422,chr4:24207052-24207070(-),6,PPARGC1A,Intron,NONE,High,3,3,OFF,UNCOVERseq,0.004,chr4,24207052,24207070,-,Tier3_422
